Municipios;País de nacimiento;Sexo;Periodo;Total
52001 Melilla;Rusia;Hombres;1 de enero de 2019;2
52001 Melilla;Rusia;Hombres;1 de enero de 2018;3
52001 Melilla;Rusia;Hombres;1 de enero de 2017;3
52001 Melilla;Rusia;Hombres;1 de enero de 2016;2
52001 Melilla;Rusia;Hombres;1 de enero de 2015;1
52001 Melilla;Rusia;Mujeres;1 de enero de 2020;11
52001 Melilla;Rusia;Mujeres;1 de enero de 2019;13
52001 Melilla;Rusia;Mujeres;1 de enero de 2018;14
52001 Melilla;Rusia;Mujeres;1 de enero de 2017;12
52001 Melilla;Rusia;Mujeres;1 de enero de 2016;11
52001 Melilla;Rusia;Mujeres;1 de enero de 2015;11
52001 Melilla;Ucrania;Total;1 de enero de 2020;8
52001 Melilla;Ucrania;Total;1 de enero de 2019;7
52001 Melilla;Ucrania;Total;1 de enero de 2018;6
52001 Melilla;Ucrania;Total;1 de enero de 2017;9
52001 Melilla;Ucrania;Total;1 de enero de 2016;7
52001 Melilla;Ucrania;Total;1 de enero de 2015;8
52001 Melilla;Ucrania;Hombres;1 de enero de 2020;1
52001 Melilla;Ucrania;Hombres;1 de enero de 2019;1
52001 Melilla;Ucrania;Hombres;1 de enero de 2018;1
52001 Melilla;Ucrania;Hombres;1 de enero de 2017;2
52001 Melilla;Ucrania;Hombres;1 de enero de 2016;2
52001 Melilla;Ucrania;Hombres;1 de enero de 2015;2
52001 Melilla;Ucrania;Mujeres;1 de enero de 2020;7
52001 Melilla;Ucrania;Mujeres;1 de enero de 2019;6
52001 Melilla;Ucrania;Mujeres;1 de enero de 2018;5
52001 Melilla;Ucrania;Mujeres;1 de enero de 2017;7
52001 Melilla;Ucrania;Mujeres;1 de enero de 2016;5
52001 Melilla;Ucrania;Mujeres;1 de enero de 2015;6
52001 Melilla;África;Total;1 de enero de 2020;18.643
52001 Melilla;África;Total;1 de enero de 2019;18.465
52001 Melilla;África;Total;1 de enero de 2018;18.803
52001 Melilla;África;Total;1 de enero de 2017;18.832
52001 Melilla;África;Total;1 de enero de 2016;18.888
52001 Melilla;África;Total;1 de enero de 2015;18.715
52001 Melilla;África;Hombres;1 de enero de 2020;9.018
52001 Melilla;África;Hombres;1 de enero de 2019;8.905
52001 Melilla;África;Hombres;1 de enero de 2018;9.097
52001 Melilla;África;Hombres;1 de enero de 2017;9.115
52001 Melilla;África;Hombres;1 de enero de 2016;9.212
52001 Melilla;África;Hombres;1 de enero de 2015;9.112
52001 Melilla;África;Mujeres;1 de enero de 2020;9.625
52001 Melilla;África;Mujeres;1 de enero de 2019;9.560
52001 Melilla;África;Mujeres;1 de enero de 2018;9.706
52001 Melilla;África;Mujeres;1 de enero de 2017;9.717
52001 Melilla;África;Mujeres;1 de enero de 2016;9.676
52001 Melilla;África;Mujeres;1 de enero de 2015;9.603
52001 Melilla;Argelia;Total;1 de enero de 2020;61
52001 Melilla;Argelia;Total;1 de enero de 2019;62
52001 Melilla;Argelia;Total;1 de enero de 2018;59
52001 Melilla;Argelia;Total;1 de enero de 2017;67
52001 Melilla;Argelia;Total;1 de enero de 2016;72
52001 Melilla;Argelia;Total;1 de enero de 2015;82
52001 Melilla;Argelia;Hombres;1 de enero de 2020;39
52001 Melilla;Argelia;Hombres;1 de enero de 2019;39
52001 Melilla;Argelia;Hombres;1 de enero de 2018;34
52001 Melilla;Argelia;Hombres;1 de enero de 2017;41
52001 Melilla;Argelia;Hombres;1 de enero de 2016;43
52001 Melilla;Argelia;Hombres;1 de enero de 2015;51
52001 Melilla;Argelia;Mujeres;1 de enero de 2020;22
52001 Melilla;Argelia;Mujeres;1 de enero de 2019;23
52001 Melilla;Argelia;Mujeres;1 de enero de 2018;25
52001 Melilla;Argelia;Mujeres;1 de enero de 2017;26
52001 Melilla;Argelia;Mujeres;1 de enero de 2016;29
52001 Melilla;Argelia;Mujeres;1 de enero de 2015;31
52001 Melilla;Marruecos;Total;1 de enero de 2020;18.538
52001 Melilla;Marruecos;Total;1 de enero de 2019;18.359
52001 Melilla;Marruecos;Total;1 de enero de 2018;18.699
52001 Melilla;Marruecos;Total;1 de enero de 2017;18.724
52001 Melilla;Marruecos;Total;1 de enero de 2016;18.772
52001 Melilla;Marruecos;Total;1 de enero de 2015;18.587
52001 Melilla;Marruecos;Hombres;1 de enero de 2020;8.948
52001 Melilla;Marruecos;Hombres;1 de enero de 2019;8.835
52001 Melilla;Marruecos;Hombres;1 de enero de 2018;9.032
52001 Melilla;Marruecos;Hombres;1 de enero de 2017;9.046
52001 Melilla;Marruecos;Hombres;1 de enero de 2016;9.139
52001 Melilla;Marruecos;Hombres;1 de enero de 2015;9.030
52001 Melilla;Marruecos;Mujeres;1 de enero de 2020;9.590
52001 Melilla;Marruecos;Mujeres;1 de enero de 2019;9.524
52001 Melilla;Marruecos;Mujeres;1 de enero de 2018;9.667
52001 Melilla;Marruecos;Mujeres;1 de enero de 2017;9.678
52001 Melilla;Marruecos;Mujeres;1 de enero de 2016;9.633
52001 Melilla;Marruecos;Mujeres;1 de enero de 2015;9.557
52001 Melilla;Nigeria;Total;1 de enero de 2020;3
52001 Melilla;Nigeria;Total;1 de enero de 2019;3
52001 Melilla;Nigeria;Total;1 de enero de 2018;1
52001 Melilla;Nigeria;Total;1 de enero de 2017;1
52001 Melilla;Nigeria;Total;1 de enero de 2016;1
52001 Melilla;Nigeria;Total;1 de enero de 2015;1
52001 Melilla;Nigeria;Hombres;1 de enero de 2020;3
52001 Melilla;Nigeria;Hombres;1 de enero de 2019;3
52001 Melilla;Nigeria;Hombres;1 de enero de 2018;1
52001 Melilla;Nigeria;Hombres;1 de enero de 2017;1
52001 Melilla;Nigeria;Hombres;1 de enero de 2016;1
52001 Melilla;Nigeria;Hombres;1 de enero de 2015;1
52001 Melilla;Nigeria;Mujeres;1 de enero de 2020;0
52001 Melilla;Nigeria;Mujeres;1 de enero de 2019;0
52001 Melilla;Nigeria;Mujeres;1 de enero de 2018;0
52001 Melilla;Nigeria;Mujeres;1 de enero de 2017;0
52001 Melilla;Nigeria;Mujeres;1 de enero de 2016;0
52001 Melilla;Nigeria;Mujeres;1 de enero de 2015;0
52001 Melilla;Senegal;Total;1 de enero de 2020;3
52001 Melilla;Senegal;Total;1 de enero de 2019;3
52001 Melilla;Senegal;Total;1 de enero de 2018;7
52001 Melilla;Senegal;Total;1 de enero de 2017;4
52001 Melilla;Senegal;Total;1 de enero de 2016;5
52001 Melilla;Senegal;Total;1 de enero de 2015;5
52001 Melilla;Senegal;Hombres;1 de enero de 2020;2
52001 Melilla;Senegal;Hombres;1 de enero de 2019;2
52001 Melilla;Senegal;Hombres;1 de enero de 2018;5
52001 Melilla;Senegal;Hombres;1 de enero de 2017;3
52001 Melilla;Senegal;Hombres;1 de enero de 2016;3
52001 Melilla;Senegal;Hombres;1 de enero de 2015;3
52001 Melilla;Senegal;Mujeres;1 de enero de 2020;1
52001 Melilla;Senegal;Mujeres;1 de enero de 2019;1
52001 Melilla;Senegal;Mujeres;1 de enero de 2018;2
52001 Melilla;Senegal;Mujeres;1 de enero de 2017;1
52001 Melilla;Senegal;Mujeres;1 de enero de 2016;2
52001 Melilla;Senegal;Mujeres;1 de enero de 2015;2
52001 Melilla;América;Total;1 de enero de 2020;615
52001 Melilla;América;Total;1 de enero de 2019;581
52001 Melilla;América;Total;1 de enero de 2018;584
52001 Melilla;América;Total;1 de enero de 2017;581
52001 Melilla;América;Total;1 de enero de 2016;593
52001 Melilla;América;Total;1 de enero de 2015;612
52001 Melilla;América;Hombres;1 de enero de 2020;306
52001 Melilla;América;Hombres;1 de enero de 2019;291
52001 Melilla;América;Hombres;1 de enero de 2018;286
52001 Melilla;América;Hombres;1 de enero de 2017;290
52001 Melilla;América;Hombres;1 de enero de 2016;301
52001 Melilla;América;Hombres;1 de enero de 2015;306
52001 Melilla;América;Mujeres;1 de enero de 2020;309
52001 Melilla;América;Mujeres;1 de enero de 2019;290
52001 Melilla;América;Mujeres;1 de enero de 2018;298
52001 Melilla;América;Mujeres;1 de enero de 2017;291
52001 Melilla;América;Mujeres;1 de enero de 2016;292
52001 Melilla;América;Mujeres;1 de enero de 2015;306
52001 Melilla;Argentina;Total;1 de enero de 2020;78
52001 Melilla;Argentina;Total;1 de enero de 2019;70
52001 Melilla;Argentina;Total;1 de enero de 2018;73
52001 Melilla;Argentina;Total;1 de enero de 2017;76
52001 Melilla;Argentina;Total;1 de enero de 2016;79
52001 Melilla;Argentina;Total;1 de enero de 2015;77
52001 Melilla;Argentina;Hombres;1 de enero de 2020;43
52001 Melilla;Argentina;Hombres;1 de enero de 2019;38
52001 Melilla;Argentina;Hombres;1 de enero de 2018;40
52001 Melilla;Argentina;Hombres;1 de enero de 2017;42
52001 Melilla;Argentina;Hombres;1 de enero de 2016;47
52001 Melilla;Argentina;Hombres;1 de enero de 2015;44
52001 Melilla;Argentina;Mujeres;1 de enero de 2020;35
52001 Melilla;Argentina;Mujeres;1 de enero de 2019;32
52001 Melilla;Argentina;Mujeres;1 de enero de 2018;33
52001 Melilla;Argentina;Mujeres;1 de enero de 2017;34
52001 Melilla;Argentina;Mujeres;1 de enero de 2016;32
52001 Melilla;Argentina;Mujeres;1 de enero de 2015;33
52001 Melilla;Bolivia;Total;1 de enero de 2020;13
52001 Melilla;Bolivia;Total;1 de enero de 2019;11
52001 Melilla;Bolivia;Total;1 de enero de 2018;15
52001 Melilla;Bolivia;Total;1 de enero de 2017;15
52001 Melilla;Bolivia;Total;1 de enero de 2016;16
52001 Melilla;Bolivia;Total;1 de enero de 2015;22
52001 Melilla;Bolivia;Hombres;1 de enero de 2020;7
52001 Melilla;Bolivia;Hombres;1 de enero de 2019;5
52001 Melilla;Bolivia;Hombres;1 de enero de 2018;7
52001 Melilla;Bolivia;Hombres;1 de enero de 2017;7
52001 Melilla;Bolivia;Hombres;1 de enero de 2016;8
52001 Melilla;Bolivia;Hombres;1 de enero de 2015;11
52001 Melilla;Bolivia;Mujeres;1 de enero de 2020;6
52001 Melilla;Bolivia;Mujeres;1 de enero de 2019;6
52001 Melilla;Bolivia;Mujeres;1 de enero de 2018;8
52001 Melilla;Bolivia;Mujeres;1 de enero de 2017;8
52001 Melilla;Bolivia;Mujeres;1 de enero de 2016;8
